Description,Synonyms
Alcohol dependence,"['alcohol dependence (diagnosis)', 'drunkenness; chronic', 'alcohol abuse, continuous drinking behaviour', 'alcoholism disorders', 'alcoholisms', 'etoh dependence', 'alcoholic dependence syndrome', '[x]mental and behavioural disorders due to use of alcohol: dependence syndrome', 'alcohol dependency', 'alcohol dependence', 'alcoholism', 'mental and behav dis due to use alcohol: dependence syndr', 'chronic alcoholism (& [dipsomania]) (disorder)', 'ethyl alcohol; dependence', 'chronic alcohol intoxication', 'chronic alcoholism (disorder)', 'etohism', 'dependence; ethyl alcohol', 'intoxication, chronic alcoholic', 'intoxication;alcohol;chronic', 'alcohol dependence syndrome nos', 'alcohol abuse chronic', '[x]dipsomania', '[x]alcohol addiction', 'alcoholism, chronic', 'alcoholic intoxication, chronic', 'addiction, alcohol', 'addiction;alcohol', 'alcohol dependence syndrome nos (disorder)', 'addiction alcohol', 'alcoholism;chronic', 'chronic; drunkenness', 'alcohol abuse, continuous drinking behavior', 'disorder alcoholism', 'alcohol problem drinking', 'alcohol dependences', 'alcohol; addiction', 'dipsomania', 'alcoholism with alcohol dependence', 'mental and behavioral disorders due to use of alcohol, dependence syndrome', 'mental and behavioral disorders due to use of alcohol: dependence syndrome', 'alcohol; dependence', 'unspecified chronic alcoholism (disorder)', 'alcoholic intox chronic', '[x]alcohol dependence syndrome', 'dipsomania (finding)', 'dependence; alcohol', 'chronic alcoholism nos', 'alcohol abuse alcoholism', 'dependence alcoholism alcohol', 'dependence;alcohol', '[x]chronic alcoholism', '(alcohol dependence syndrome [including alcoholism]) or (alcohol problem drinking) (disorder)', 'chronic alcoholism (& [dipsomania])', 'addicted to alcohol', '[x]mental and behavioral disorders due to use of alcohol: dependence syndrome', '[x]mental and behavioral disorders due to use of alcohol: dependence syndrome (disorder)', 'dependence, alcohol', 'abuse;alcohol;chronic', '(alcohol dependence syndrome [including alcoholism]) or (alcohol problem drinking)', 'chronic alcoholism nos (disorder)', 'alcoholism chronic', '[x]mental and behav dis due to use alcohol: dependence syndr', 'dependency on alcohol', 'chronic alcoholic intoxication', 'addiction; alcohol', 'persistent alcohol abuse', 'alcohol dependence syndrome (& [dipsomania])', 'mental and behavioural disorders due to use of alcohol: dependence syndrome', 'persistent alcohol abuse (disorder)', 'mental and behavioural disorders due to use of alcohol, dependence syndrome', 'alcohol dependence syndr. nos', 'alcoholism, nos', 'alcohol addiction', 'alcohol dependence (disorder)', 'alcoholism (disorder)', 'alcoholism [disease/finding]', 'chronic alcohol abuse', 'chronic alcoholism [ambiguous]', 'alcoholism/alcohol abuse', 'alcoholism chronic disorders', 'alcohol dependence syndrome', 'abuse alcohol alcoholism', 'unspecified chronic alcoholism', 'chronic alcoholism', 'alcohol dependence syndrome (& [dipsomania]) (disorder)']"
thoracic aortic aneurysm,"['aneurysm thoracic', 'aneurysm, thoracic', 'aneurysm of thoracic aorta (diagnosis)', 'thoracic aortic aneurysms', 'taa', 'aneurysm; thoracic aorta', 'intrathoracic; aneurysm', 'thoracic aorta aneurysm', 'aorta thoracic aneurysm', 'aneurysm of thoracic aorta', 'intrathoracic aneurysm', 'thoracic aortic aneurysm (disorder)', 'aneurysm, aorta, thoracic', 'aortic aneurysm, thoracic', 'thoracic aneurysm', 'aneurysm, thoracic aortic', 'aneurysm; intrathoracic', 'aortic aneurysms, thoracic', 'aneurysm of thoracic aorta (disorder)', 'aneurysm;intrathoracic', 'aneurysm aortic thoracic', 'aortic aneurysm, thoracic [disease/finding]', 'aortic thoracic aneurysm', 'aorta thoracic; aneurysm', 'aneurysms thoracic', 'thoracic aortic aneurysm', 'thoracic aortic aneurysm without rupture (disorder)', 'aortic aneurysm thoracic without rupture', 'thoracic aortic aneurysm without rupture', 'aneurysm of thoracic aorta', 'thoracic aortic aneurysm without mention of rupture', 'thoracic aortic aneurysm, without mention of rupture', 'aneurysm of thoracic aorta without rupture (diagnosis)', 'thoracic aortic aneurysm, without rupture', 'aneurysm of thoracic aorta without rupture', 'thoracic aortic aneurysm', 'thorac.aortic aneurysm-no rupt', 'thoracic aortic aneurysm without mention of rupture (disorder)', 'thoracic aneurysm without mention of rupture']"
serum creatinine measurement,"['serum creatinine nos (procedure)', 'creatinine serum test', 'serum creatinine nos', 'creatinine procedure serum', 'serum creatinine test', 'serum creatinine', 'serum creatinine tests', 'serum creatinine (& level)', 'serum creatinine level', 'creatinine measurement, serum', 'creatinine measurement, serum (procedure)', 'creatinine serum', 'serum creatinine (& level) (procedure)', 'serum creatinine measurement (lab test)', 'serum creatinine measurement', 'creatinine.serum', 'creatinine - serum']"
Hypospadias,"['penile hypospadias', 'hypospadias of penis (physical finding)', 'hypospadia', 'hypospadias (disorder)', 'hypospadias, penile', 'hypospadia;m', 'hypospadias (physical finding)', 'penis hypospadias', 'urethral meatus underneath penis', 'penile hypospadias was observed', 'hypospadia;congenital;m', 'hypospadias of penis', 'hypospadias; penile', 'congenital hypospadia', 'hypospadias', 'penis hypospadias penile', 'urethral meatus under penis', 'hypospadias (diagnosis)', 'penile; hypospadias', 'hypospadias, penile (disorder)', 'hypospadias;', 'hypospadias (disorder)', 'hypospadias, unspecified', 'hypospadias', 'hypospadia', 'hypospadias [disease/finding]']"
stevens-johnson syndrome,"['stevens johnson syndrome', 'stevens-johnson syndrome (diagnosis)', 'steven johnsons syndrome', 'syndrome stevens-johnson', 'erythema multiforme bullosum', 'stevens-johnson syndrome', 'erythema multiforme bullosum (stevens johnson syndrome)', 'erythema multiforme major', 'johnsons stevens syndrome', 'steven jonhson syndrome', 'stevens-johnson synd.', 'johnson reaction stevens', 'erythema; multiforme bullosum', 'johnson stevens syndrome', 'stevens-johnson syndrome [disease/finding]', 'stevens johnson reaction', 'bullous erythema multiforme (disorder)', 'erythema multiforme, stevens-johnson type', 'erythema multiforme exudativum', 'erythema exudativum multiforme', 'stevens jonhson syndrome', 'johnson steven syndrome', 'stevens johnsons syndrome', 'febrile mucocutaneous syndrome', 'stevens-johnson syndrome (em major)', 'stevens-johnson', 'steven johnson syndrome', 'stevens - johnson syndrome', 'ectodermosis erosiva pluriorificialis', 'bullous erythema multiforme', 'johnsons steven syndrome', 'stevens-johnson syndrome (disorder)', 'erythema exsudativum multiforme']"
Alcohol and nictotine co-dependence,[]
Coronary heart disease,"['coronary disorder', 'coronary disorders', 'coronary artery disease', 'heart; disease, coronary', 'disease, coronary heart', 'coronary disease [disease/finding]', 'coronary heart dis', 'coronary dis', 'heart disease, coronary', 'chd (coronary heart disease)', 'diseases, coronary', 'cad', 'coronary (artery) disease', 'coronary diseases', 'chd - coronary heart disease', 'coronary disease', 'diseases, coronary heart', 'coronary heart disease', 'disease, coronary', 'heart diseases, coronary', 'coronary heart diseases', 'coronary arterioscleroses', 'ischaemic heart disease', 'cardiac ischaemia', 'coronary sclerosis', 'coronary arteriosclerosis (disorder)', 'sclerosis; coronary', 'heart; arteriosclerosis', 'sclerosis; cardiac', 'coronary (artery) sclerosis', 'cardiac ischemia', 'coronary artery arteriosclerosis', 'disease (or disorder); arteriosclerotic, coronary (artery)', 'coronary artery sclerosis', 'coronary; arteriosclerosis', 'ashd - atherosclerotic heart disease', 'coronary artery diseases', 'cardiac; sclerosis', 'arteriosclerosis, coronary', 'arteriosclerosis; heart', 'coronary artery atherosclerosis', 'cardiac sclerosis', 'atherosclerosis, coronary', 'coronary heart disease', 'coronary atherosclerotic heart disease', 'coronary arteriosclerosis (diagnosis)', 'arteriosclerosis coronary artery', 'atherosclerotic coronary vascular disease', 'arteriosclerosis; coronary', 'coronary; sclerosis', 'arteriosclerotic heart disease', 'coronary atheroma', 'disease (or disorder); arteriosclerotic, heart', 'myocardial ischaemia', 'atherosclerotic heart disease nos', 'disease;atherosclerotic;heart', 'coronary atherosclerosis (disorder)', 'coronary arteriosclerosis', 'ashd', 'coronary atherosclerosis', 'myocardial ischemia', 'arteriosclerotic coronary artery disease', 'coronary atheroscleroses', 'arterioscleroses, coronary', 'atherosclerotic heart disease', 'coronary (artery) atherosclerosis', 'atheroscleroses, coronary', 'coronary artery disease', 'arteriosclerosis; coronary (artery)']"
venous thromboembolism,"['venous thromboembolism', 'thrombophilia due to factor 2 defect', 'thrombosis, protection against', 'thrombophilia due to thrombin defect', 'thph1', 'venous thrombosis', 'venous thromboembolism', 'thromboembolism, venous', 'venous thromboembolism [disease/finding]']"
asthma,"['asthma', 'asthma pathway', '2-51 asthma', 'bronchial asthma, nos', 'asthma nos (disorder)', 'asthma (disorder)', 'br. asthma', 'asthma, bronchial', 'asthma disorders', 'airway hyperreactivity', 'asthma', 'asthma unspecified', 'unspecified asthma', 'asthma nos', 'bronchitic asthma', 'asthmatic', 'asthma unspecified (disorder)', 'asthma bronchial', 'asthma [disease/finding]', 'asthma, nos', 'asthmatics', 'asthma (disorder) [ambiguous]', 'bronchial asthma', 'asthma (diagnosis)', 'br asthma', 'asthmas', 'asthma, unspecified']"
Anticoagulant levels,[]
Coronary artery calcification,"['calcification of coronary artery (disorder)', 'calcification of coronary artery', 'coronary artery calcification']"
abdominal fat,"['fat, abdominal', 'abdominal adipose tissue', 'abdominal fats', 'abdominal fat', 'fats, abdominal', 'adipose tissue, abdominal']"
RR interval (heart rate),[]
Vitiligo,"['systemic lupus erythematosus, vitiligo-related', 'vitiligo-associated multiple autoimmune disease susceptibility 1 (finding)', 'vtlg', 'vamas1', 'vitiligo', 'vitiligo-associated multiple autoimmune disease susceptibility 1', 'slev1', 'vitiligo [disease/finding]', 'vitiligo (disorder)', 'vitiligo', 'vitiligo (physical finding)']"
Corneal structure,"['eye, cornea', 'cornea', 'corneal structure', 'corneal', 'corneas', 'corneal structure (body structure)', 'cornea, nos', 'crn', 'outer coat of the eyeball']"
Carotid atherosclerosis in HIV infection,[]
narcolepsy,"['gelineau syndrome', 'syndromes, narcoleptic', 'narcolepsy nos', 'paroxysmal sleep', ""gelineau's syndrome"", ""syndromes, gelineau's"", ""g\xc3\xa9lineau's syndrome"", 'narcolepsy (disorder)', 'narcolepsy', 'narcolepsy [disease/finding]', ""gelineau's syndromes"", ""syndrome, gelineau's"", 'syndrome, narcoleptic', 'narcolepsy (diagnosis)', 'narcoleptic syndrome', 'narcoleptic syndromes', 'sleep, paroxysmal', 'narcolepsies', 'excessive uncontrollable daytime sleepiness', 'narcolepsy disorder', 'syndrome, gelineau', 'gelineaus syndrome']"
cd4:cd8 lymphocyte ratio,[]
prostate specific antigen measurement,"['prostate specific antigen', 'test;prostate specific antigen', 'prostate specific antigen (psa); total', 'prostate specific antigen measurement (procedure)', 'prostatic specific antigen measurement', 'psa test', 'prostate-specific antigen level (procedure)', 'assay of psa total', 'prostate specific antigen (& serum level)', 'measurement of total prostate specific antigen (psa)', 'prostate specific antigen measurement', 'antigen prostate specific testing', 'assay of prostate specific antigen total', 'prostate specific antigen assay', 'psa', 'psa (prostate specific antigen) measurement', 'prostate specific antigen (psa) level test', 'prostate-specific antigen test', 'prostatic specific antigen', 'prostate specific antigen (& serum level) (procedure)', 'prostate specific antigen test', 'prostate-specific antigen level', 'antigen prostate specific test', 'psa assay', 'psa - prostate-specific antigen level', 'psa - serum prostate specific antigen level', 'psa measurement']"
Obesity-related traits,[]
common carotid intimal medial thickness,[]
magnesium measurement,"['mg', 'measurement of magnesium', 'magnesium each test', 'magnesium measurement, nos', 'assay of magnesium', 'mg++', 'magnesium measurement (procedure)', 'magnesium', 'magnesium ea.tst', 'magnesium level', 'magnesium measurement', 'magnesium level test']"
Speech perception in dyslexia,[]
Monocyte chemoattractant protein-1,"['ccl2 chemokine', 'monocyte chemotactic protein-1', 'chemokines ccl2', 'monocyte chemoattractant protein-1', 'ccl2, chemokine', 'small inducible cytokine a2', 'mcp1', 'monocyte chemotactic and activating protein', 'monocyte chemotactic protein 1', 'monocyte chemotactic protein 001', 'chemokine ccl2 [chemical/ingredient]', 'ccl2', 'monocyte chemotactic and activating factor', 'chemokine, ccl2', 'chemoattractant protein-1, monocyte', 'chemotactic protein-1, monocyte', 'mcp-1', 'monocyte chemoattractant protein 001', 'chemokine ccl 002', 'ccl2, chemokines', 'chemokine ccl2', 'monocyte secretory protein je', 'monocyte chemoattractant protein 1', 'ccl2', 'mcp1', 'monocyte chemotactic and activating factor', 'mcaf', 'monocyte chemotactic protein 1', 'monocyte secretory protein je', 'chemokine (c-c motif) ligand 2', 'small inducible cytokine subfamily a (cys-cys), member 2', 'mgc9434', 'monocyte chemotactic protein 1, homologous to mouse sig-je', 'ccl2 gene', 'gdcf-2', 'monocyte chemoattractant protein-1', 'mcp-1', 'smc-cf', 'small inducible cytokine a2', 'scya2', 'chemokine (c-c motif) ligand 2 gene', 'chemokine, cc motif, ligand 2', 'hc11']"
c-reactive protein measurement,"['crp - c-reactive protein level', 'c-reactive protein measurement', 'c-reactive protein measurement (procedure)', 'measurement of c-reactive protein', 'c-reactive protein (crp) test', 'crp', 'c-reactive protein, quantitative', 'c-reactive protein', 'c reactive protein', 'c-reactive protein level']"
Thyroid cancer,"['thyroid cancer pathway', 'thyroid cancer', 'ptc pathway', 'papillary thyroid carcinoma pathway', 'nci ctep simple disease classification thyroid cancer sub-category terminology', 'thyroid cancer', 'nci ctep sdc thyroid cancer sub-category terminology', 'carcinoma of thyroid gland (diagnosis)', 'carcinoma, thyroid', 'thyroid cancer', 'cancer, thyroid', 'thyroid gland carcinoma', 'thyroid gland cancer', 'carcinoma thyroid gland', 'thyroid carcinoma', 'carcinoma;thyroid gland', 'carcinoma of thyroid gland', 'carcinoma of thyroid', 'carcinoma of the thyroid gland', 'cancer of thyroid', 'thyroid carcinoma nos', 'thyroid cancer (diagnosis)', 'cancer of the thyroid', 'thyroid cancer, nos', 'head and neck cancer, thyroid', 'carcinoma thyroid', 'carcinoma of the thyroid', 'malignant tumour of thyroid gland', 'malignant tumor of thyroid', 'malignant thyroid gland neoplasm', 'malignant neoplasm of the thyroid', 'malig tumor thyroid gland', 'malignant neoplasm of thyroid gland', 'malignant neoplasm thyroid', 'malignant neosplasm of the thyroid gland', 'malignant thyroid tumor', 'thyroid gland cancer', 'malignant neoplasm of thyroid', 'malign neopl thyroid', 'malignant thyroid gland tumor', 'malignant thyroid neoplasm', 'thyroid ca', 'malignant neoplasm of the thyroid gland', 'malignant tumor of thyroid gland', 'malignant tumor of the thyroid gland', 'cancer of the thyroid', 'malig neop thyroid gland', 'malignant tumour of thyroid gland (disorder)', 'neoplasm malig;thyroid gland', 'malig tumour thyroid gland', 'thyroid cancer', 'malignant tumor of thyroid gland (disorder)', 'thyroid neoplasms malignant', 'thyroid neoplasm malignant', 'cancer of thyroid', 'malignant tumor of the thyroid', 'thyroid cancers', 'malignant neoplasm of thyroid gland (diagnosis)']"
Waist Circumference - Triglycerides (WC-TG),[]
Two-hour glucose challenge,[]
odontogenesis,"['odontogeneses', 'odontogeny', 'dental development', 'tooth development', 'odontosis', 'odontogenesis', 'development tooth']"
Tumor biomarkers,[]
&beta;2-Glycoprotein I (&beta;2-GPI) plasma levels,[]
Hippocampal volume,[]
Chronic lymphocytic leukemia,"['bcll', 'chronic lymphocytic leukemia, b-cell', 'chronic lymphoblastic leukemia', 'chronic b-cell lymphocytic leukemia', 'b cell leukemia', 'lymphocytic lymphoma, diffuse, well-differentiated', 'cll', 'lymphomas, lymphocytic', 'leukemias, chronic b-cell', 'chronic lymphocytic leukaemia', 'lymphocytic lymphoma, well differentiated', 'b-cell cll', 'chronic lymphocytic leukemia of b-cell type nos', 'b-cell chronic lymphocytic leukaemia/small lymphocytic lymphoma', 'leukemia chronic lymphocytic', 'leukemia, chronic b-lymphocytic', 'b-cll - b-cell chronic lymphocytic leukaemia', 'leukemia b cell', 'lymphocytic leukemia, chronic, b-cell', 'small lymphoma', 'chronic lymphocytic leukemia, morphology (morphologic abnormality)', 'lymphoma lymphocytic diffuse well differ', 'lymphoplasmacytoid lymphoma, cll', 'chronic lymphogenous leukemia', 'b-cell chronic lymphoid leukemia', 'small-cell lymphoma', 'chronic b-cell lymphocytic leukemia (diagnosis)', 'cll lymphoplasmacytoid lymphoma', 'chronic b-lymphocytic leukemias', 'cll lymphoplasmacytoid lymphomas', 'b-cell chronic lymphocytic leukemia (disorder)', 'cll, b-cell', 'lymphomas, cll lymphoplasmacytoid', 'small-cell lymphomas', 'cll chronic lymphocytic leukemia', 'chronic lymphocytic leukemia, b-cell type', 'cll-chron lymphocyt leukemia', 'chronic lymphocytic leukemia of b-cell type', 'lymphoid leukemia, chronic', 'chronic lymphocytic leukemia', 'cll (chronic lymphocytic leukemia)', 'lymphoma, small lymphocytic, plasmacytoid', 'b-cell malignancy, low-grade', 'chronic lymphoid leukemia, disease (disorder)', 'chronic lymphocytic leukemia (cll)', 'lymphocytic leukemia, chronic, b cell', 'chronic b-cell lymphocytic leukemia (cll)', 'b-cell chronic lymphogenous leukemia', 'b lymphocytic leukemia, chronic', 'chronic lymphocytic leukemias', '[m]chronic lymphoid leukaemia', 'small lymphocytic lymphomas', 'b-lymphocytic leukemias, chronic', '[m]chronic lymphoid leukaemia (disorder)', 'lymphocytic lymphomas', 'lymphomas, small-cell', 'leukemia, b cell, chronic', 'b cell cll', 'leukemia, lymphoblastic, chronic', 'leukemias, chronic lymphoblastic', 'lymphoma, well-differentiated lymphocytic', 'lymphoma lymphocytic well differ', 'chronic lymphatic leukemia', 'diffuse well differ lymphocytic lymphoma', 'lymphatic; leukemia, chronic', 'chronic lymphocytic leukemia nos', 'chronic lymphoid leukemia, disease', 'chronic lymphoblastic leukemias', 'b-cell leukemia, chronic', 'b-cll - b-cell chronic lymphocytic leukemia', 'leukemia, lymphocytic, chronic', 'b-cell lymphocytic leukemia', 'b-cell leukemia', 'b-cell chronic lymphocytic leukaemia', 'chronic b-lymphocytic leukemia', 'chronic lymphoid leukemia', 'lymphoma, small lymphocytic', 'lymphoma, small-cell', 'lymphocytic lymphoma well differ', 'chronic lymphocytic leukemia, nos', 'lymphocytic lymphoma, small', 'cll - chronic lymphocytic leukemia', 'leukemia; lymphatic, chronic', 'leukemia, lymphocytic, chronic, b cell', 'lymphocytic lymphomas, well-differentiated', 'hematopoeitic - chronic lymphocytic leukemia (cll)', 'lymphoma, cll lymphoplasmacytoid', 'leukemia lymphocytic chronic (cll)', 'lymphomas, small lymphocytic', 'lymphocytic lymphoma', 'leukemia;chronic lymphocytic', 'chronic lymphatic leukaemia', 'lymphoma, small cell', 'chronic lymphocytic leukaemia nos', 'small cell lymphoma', 'leukemia, chronic lymphocytic', 'diffuse well-differentiated lymphocytic lymphoma', 'chronic lymphocytic leukaemia, b-cell type', 'b chronic lymphocytic leukemia', 'leukemia, lymphocytic, chronic, b-cell', 'lymphoblastic leukemia, chronic', 'b-cell chronic lymphocytic leukemia/small lymphocytic lymphoma (morphologic abnormality)', 'b-cell leukemias, chronic', 'b-cell chron lymphocyt leukaem', 'leukemias, chronic b-lymphocytic', 'b cell lymphocytic leukemia', 'leukemia, lymphocytic, chronic, b-cell [disease/finding]', 'leukemia, chronic lymphocytic (cll)', 'leukemia, chronic b-cell', 'leukemias chronic lymphocytic', 'disrupted in b-cell malignancy', 'lymphoplasmacytoid lymphomas, cll', 'clls', 'b-cell chronic lymphocytic leukemia', 'lymphocytic lymphomas, small', 'lymphoma, lymphocytic, diffuse, well differentiated', 'lymphoma, lymphocytic, well differentiated', 'chronic lymphoid leukaemia', 'lymphocytic lymphoma, well-differentiated', 'lymphomas, well-differentiated lymphocytic', 'lymphoma, lymphocytic, well-differentiated', 'lymphocytic leukemia chronic', 'lymphoblastic leukemias, chronic', 'b-lymphocytic leukemia, chronic', 'lymphocytic leukemias, chronic', '[m]chronic lymphoid leukemia', 'small lymphocytic lymphoma', 'leukemia, b-cell, chronic', 'cll-chron lymphocyt leukaemia', 'diffuse well differentiated lymphocytic lymphoma', 'leukaemia;chronic lymphocytic', 'lymphocytic leukemia, chronic', 'b-cll - b-cell chron lymp leuk', 'lymphoma, lymphocytic, diffuse, well-differentiated', 'lymphocytic lymphoma diffuse well differ', 'leukemia, chronic lymphatic', 'leukemia lymphocytic chronic', 'chronic b-cell leukemias', 'lymphocytic leukemia chronic b', 'b-lymphocytic leukemia', 'chronic leukemia lymphocytic', 'leukemia, b-cell chronic lymphocytic', 'leukaemias chronic lymphocytic', 'lymphoma, lymphoplasmacytoid, cll', 'lymphoma, lymphocytic', 'lymphocytic leukemia, b-cell chronic', 'b-cell chronic lymphocytic leukemia/small lymphocytic lymphoma', 'lymphoid leukaemia, chronic', 'lymphoma small', 'b cell leukemia, chronic', 'well-differentiated lymphocytic lymphomas', 'chronic b-cell leukemia', 'cll - chronic lymphocytic leukaemia', 'b cell chronic lymphocytic leukemia', 'chronic lymphoid leukaemia, disease', 'leukemia, chronic lymphocytic, b-cell', 'well-differentiated lymphocytic lymphoma', 'lymphocytic lymphoma, diffuse, well differentiated', 'leukaemia lymphocytic chronic', 'chronic lymphocytic leukemia (diagnosis)']"
Nephropathy (idiopathic membranous),[]
Duodenal ulcer,"['duodenum ulcer', 'duodenal ulcer nos', 'common duodenal ulcer', 'unspecified duodenal ulcer nos (disorder)', 'common duodenal ulcer (disorder) [ambiguous]', 'ulcer;duodenal', 'duodenum, peptic ulcer', 'duodenal ulcer nos (disorder)', 'dud - duodenal ulcer disease', 'duodenal ulcer (disorder)', 'duodenal ulcer disease, nos', 'duodenum ulcers', 'duodenal ulcer, nos', 'duodenal ulcer', 'ulcer, duodenal', 'duodenal ulcer [disease/finding]', 'ulcers, duodenal', 'unspecified duodenal ulcer (disorder)', 'duodenal ulceration', 'duodenal ulcer disease (disorder)', 'duodenal ulcer (diagnosis)', 'unspecified duodenal ulcer', 'duodenum ulcer (peptic)', 'common duodenal ulcer, nos', 'duodenal ulcers', 'common duodenal ulcer (disorder)', 'duodenum; ulcer', 'unspecified duodenal ulcer nos', 'duodenum, ulcer', 'du - duodenal ulcer', 'du', 'peptic ulcer of duodenum (disorder)', 'duodenal ulcer disease', 'ulcer; duodenum', 'ulcer duodenal', 'peptic ulcer of duodenum, nos', 'peptic ulcer of duodenum']"
Lumiracoxib-related liver injury,[]
End-stage renal disease (non-diabetic),[]
lymphoma,"['germinoblastomas', 'malignant lymphoma, no icd-o subtype', 'lymphomas, malignant', 'lymphoma, malignant', '[m]malignant lymphoma nos', 'malignant lymphoma nos of unspecified site (disorder)', 'malignant lymphoma (diagnosis)', '[m]reticulolymphosarcoma nos', 'malignant lymphoma (clinical)', 'reticulolymphosarcomas', 'germinoblastic sarcomas', 'lymphoma', '[m]malignant lymphoma nos (disorder)', 'sarcoma, germinoblastic', '[m]reticulolymphosarcoma, diffuse', '[m]lymphoma nos', 'lymphomas malignant', 'malignant lymphoma nos of unspecified site', 'malignant lymphomas', 'lymphomatous', ""lymphoma (hodgkin's and non-hodgkin's)"", 'germinoblastic sarcoma', 'lymphomas', 'malignant lymphoma, no icd-o subtype (morphologic abnormality)', 'malignant lymphoma, nos', 'malignant lymphoma (disorder)', 'sarcomas, germinoblastic', 'malignant lymphoma', 'lymphoma (clinical)', 'malig.lymphoma nos-unspec site', 'lymphoma, nos', 'reticulolymphosarcoma, diffuse', 'reticulolymphosarcoma', 'malignant lymphoma nos (disorder)', 'malignant lymphoma nos', 'lymphoma (hodgkin and non-hodgkin)', 'germinoblastoma', 'lymphoma [disease/finding]', 'lymphoma malignant', 'lymphoma nos']"
pericardial fat,"['pericardial fat (body structure)', 'pericardial fat']"
Red vs. non-red hair color,[]
recombination rate,[]
carotid-femoral pulse wave velocity,[]
left ventricular hypertrophy,"['ecg: lvh nos (finding)', 'electrocardiogram: left ventricle hypertrophy', 'ecg: lvh', 'lvh by ekg', 'ecg:left ventricle hypertrophy', 'electrocardiogram: left ventricle hypertrophy nos', 'left ventricular hypertrophy by ecg finding', 'electrocardiogram: left ventricle hypertrophy (finding)', 'left ventricular hypertrophy by ekg (finding)', 'ecg left ventricular hypertrophy', 'electrocardiogram left ventricular hypertrophy', 'ecg lvh', 'ekg left ventricular hypertrophy', 'electrocardiogram: left ventricle hypertrophy nos (finding)', 'ekg lvh', 'left ventricular hypertrophy by ekg', 'left ventricular hypertrophy (lvh), ekg', 'ecg: lvh nos', 'left ventricular hypertrophy', 'ecg:left ventricle hypertrophy (finding)', 'electrocardiogram left ventricular hypertrophy (procedure)', 'lvh (left ventricular hypertrophy) on ecg', 'left ventricular hypertrophy', 'left ventricular hypertrophy:find:pt:^patient:ord', 'left ventricular hypertrophy:finding:point in time:^patient:ordinal', 'ventricular hypertrophy, left', 'ventricular hypertrophies, left', 'lv+ - left ventric hypertrophy', 'lvh (left ventricular hypertrophy)', 'left ventricular hypertrophy (disorder)', 'hypertrophy of left ventricle', 'left ventricular enlargement (diagnosis)', 'hypertrophy left ventricular', 'hypertrophies, left ventricular', 'left ventricular enlargement', 'hypertrophy of left ventricle (diagnosis)', 'ventricular hypertrophy (& [left])', 'ventricular hypertrophy (& [left]) (disorder)', 'left ventricular hypertrophy', 'lvh - left ventric hypertrophy', 'lv hypertrophy', 'hypertrophy, left ventricular', 'hypertrophy, left ventricular [disease/finding]', 'hypertrophy;ventricular;left', 'lvh - left ventricular hypertrophy', 'left ventricular hypertrophies', 'lvh', 'lv+ - left ventricular hypertrophy']"
hpv seropositivity,[]
Amyotrophic lateral sclerosis,"['sclerosis; spinal, lateral (amyotrophic)', 'amyotrophy; lateral sclerosis', 'amyotrophic lateral sclerosis', 'amyotrophic sclerosis', 'amytrophic lateral sclerosis', 'gehrigs dis', 'amyotrophic lateral sclerosis [disease/finding]', 'motor neuron dis amyotrophic lateral sclerosis', 'als', 'creeping; palsy', 'lou gehrig disease', 'lou gehrigs dis', 'amyotrophic lateral sclerosis (disorder)', ""lou gehrig's disease"", 'amyotrophic lateral sclerosis (diagnosis)', 'als - amyotroph lat sclerosis', 'lou gehrigs disease', 'motor neuron disease, bulbar', ""gehrig's disease"", 'lou-gehrigs disease', 'als (amyotrophic lateral sclerosis)', 'gehrigs disease', 'amyotrophic lateral sclerosis/progressive muscular atrophy', 'motor neuron disease, amyotrophic lateral sclerosis', 'palsy; creeping', 'lateral sclerosis; amyotrophy', 'disease, lou-gehrigs', ""lou gehrig's disease (als)"", 'charcot disease', 'bulbar motor neuron disease', 'gehrig disease', 'lou gehrig dis', 'spinal; sclerosis, lateral (amyotrophic)', 'als - amyotrophic lateral sclerosis', 'amyotrophic laterals sclerosis', 'sclerosis, amyotrophic lateral']"
C4b binding protein levels,[]
Bone mineral density,"['bone mineral density studies', 'bmd', 'bone mineral density test', 'bone density test', 'bone mineral density', 'bone density', 'bone mass', 'bone masses', 'bmd', 'density, bone', 'bone densities', 'bone mineral densities', 'bone mineral density', 'density, bone mineral', 'bone density', 'bone mass']"
